Participant ID,Home - Child No School,Home - Child School,Home - University,Home - 20s,Home - 30s and 40s,Home - 50s and 60s,Home - 70+,Work - Child No School,Work - Child School,Work - University,Work - 20s,Work - 30s and 40s,Work - 50s and 60s,Work - 70+,Other - Child No School,Other - Child School,Other - University,Other - 20s,Other - 30s and 40s,Other - 50s and 60s,Other - 70+
3560,0,0,8,0,2,0,0,0,0,17,0,1,0,0,0,0,1,0,0,0,0
3564,0,0,6,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
3569,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0
3620,0,1,4,0,2,1,1,0,2,5,0,2,2,2,0,0,0,0,0,0,0
3629,0,0,7,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0
3671,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
3675,0,1,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
3676,0,1,3,0,5,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
3692,0,5,5,0,2,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0
3694,0,1,10,0,1,0,0,0,1,9,0,3,0,0,0,0,0,0,0,0,0
3697,0,1,1,0,0,0,0,0,1,14,0,2,0,0,0,0,0,0,0,0,0
3699,0,0,5,0,6,0,1,0,1,4,0,1,0,1,0,0,0,0,0,0,0
3704,0,0,0,0,4,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0
3705,0,2,0,0,1,0,0,0,2,21,0,2,4,0,0,0,1,0,0,0,0
3739,0,0,1,0,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3740,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
3757,0,0,4,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,0,0,0
3763,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,2,0,0,0,0
3777,0,0,0,0,2,1,0,0,3,9,0,3,0,1,0,0,0,0,0,0,0
3792,0,0,0,0,0,0,0,0,1,15,0,5,2,0,0,0,0,0,0,0,0
3819,0,0,0,0,0,0,0,0,0,13,0,4,2,0,0,0,0,0,0,0,0
3820,0,1,5,0,0,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
3822,0,0,0,0,0,0,0,0,1,29,0,1,0,0,0,0,0,0,0,0,0
3860,0,1,3,0,2,2,0,0,3,10,0,3,0,0,0,0,0,0,0,0,0
3865,0,1,2,0,1,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0
3873,0,1,2,0,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0
3880,0,0,1,0,3,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0
3885,0,1,1,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0
3895,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0
3904,0,1,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
3920,0,0,1,0,3,0,0,0,1,13,0,2,0,0,0,0,0,0,0,0,0
3927,0,0,1,0,0,0,0,0,0,11,0,4,2,0,0,0,0,0,0,0,0
3928,0,0,2,0,3,0,0,0,0,18,0,8,1,0,0,0,2,0,0,0,0
3932,0,0,8,0,3,0,0,0,1,10,0,6,1,0,0,0,0,0,0,0,0
3943,0,8,11,0,2,1,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0
3944,0,0,0,0,1,0,0,0,0,9,0,1,3,0,0,0,0,0,0,0,0
3953,0,3,1,0,2,0,0,0,2,5,0,2,2,0,0,0,0,0,0,0,0
3965,0,0,6,0,0,5,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0
3982,0,0,2,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0
3983,0,0,5,0,6,1,0,0,2,7,0,7,2,0,0,0,0,0,0,0,0
3984,0,0,2,0,1,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0
3997,0,0,2,0,5,3,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
4003,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
4010,0,0,4,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
4071,0,0,5,0,3,2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
4094,0,1,4,0,4,0,0,0,3,22,0,6,0,0,0,0,0,0,0,0,0
4112,0,1,2,0,2,3,1,0,1,5,0,3,1,0,0,0,0,0,0,0,0
4126,0,7,1,0,1,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,0
4964,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
5025,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
5140,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5199,0,0,0,0,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0
5251,0,1,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5256,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
5294,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
5295,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5328,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5472,0,5,3,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5494,0,2,3,0,4,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
6646,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6647,0,2,5,0,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6648,0,1,12,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6649,0,3,6,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6686,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0
6687,0,2,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6689,0,0,0,0,1,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0
6722,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6726,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6762,0,0,0,0,1,0,0,0,2,2,0,1,3,0,0,0,0,0,0,0,0
6765,0,0,3,0,1,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0
6767,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6768,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
6812,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6813,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
6856,0,0,0,0,1,0,0,0,0,1,0,6,5,0,0,0,0,0,0,0,0
6857,0,0,2,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0
6893,0,0,5,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
6895,0,0,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6897,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6900,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6918,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0
6919,0,0,3,0,1,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0
6920,0,3,5,0,1,1,0,0,1,3,0,1,3,0,0,0,0,0,0,0,0
6948,0,0,2,0,2,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
6949,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6950,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6965,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
6969,0,1,3,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6995,0,0,1,0,0,1,0,0,2,3,0,4,3,0,0,0,0,0,0,0,0
7012,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
7043,0,0,2,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7055,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7057,0,11,1,0,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7101,0,1,2,0,3,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0
7102,0,10,1,0,0,0,0,0,0,19,0,3,0,0,0,0,1,0,0,0,0
7103,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7104,0,2,5,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0
7105,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7133,0,1,0,0,1,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0
7148,0,0,2,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
7207,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0
7227,0,13,2,0,3,0,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0
7228,0,4,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
7229,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7238,0,0,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7253,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0
7255,0,0,0,0,1,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
7256,0,0,2,0,0,0,0,0,11,9,0,2,0,0,0,0,0,0,0,0,0
7330,0,0,11,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7351,0,9,8,0,3,2,0,0,3,7,0,1,2,0,0,0,0,0,0,0,0
7404,0,4,8,0,7,0,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0
7410,0,2,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7425,0,2,5,0,1,0,0,0,0,3,0,2,0,1,0,0,1,0,0,0,0
7429,0,0,25,0,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
7430,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7437,0,0,10,0,2,2,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0
