Participant ID,Home - Child No School,Home - Child School,Home - University,Home - 20s,Home - 30s and 40s,Home - 50s and 60s,Home - 70+,Work - Child No School,Work - Child School,Work - University,Work - 20s,Work - 30s and 40s,Work - 50s and 60s,Work - 70+,Other - Child No School,Other - Child School,Other - University,Other - 20s,Other - 30s and 40s,Other - 50s and 60s,Other - 70+
717,0,6,0,0,8,1,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0
736,0,0,0,0,0,0,0,0,15,0,0,5,2,0,0,0,0,0,0,0,0
815,0,20,0,0,3,1,0,0,16,0,0,2,2,0,0,1,0,0,0,0,0
832,0,11,0,0,0,2,0,0,27,0,0,0,5,0,0,0,0,0,0,0,0
835,0,1,0,0,1,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0
837,0,4,0,0,6,0,0,0,19,0,0,3,3,0,0,0,0,0,0,0,0
838,0,1,0,0,3,0,0,0,18,0,0,5,2,1,0,0,0,0,0,0,0
844,0,6,0,0,0,1,0,0,14,0,0,4,4,0,0,0,0,0,0,0,0
845,0,9,0,0,1,0,0,0,24,0,0,5,4,1,0,1,0,0,0,0,0
856,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0
857,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
863,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
865,0,6,0,0,2,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0
866,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
871,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
873,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
880,0,13,0,0,3,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
886,0,2,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0
898,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
901,0,4,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
910,0,0,0,0,0,0,0,0,7,0,0,4,1,0,0,0,0,0,0,0,0
911,0,3,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0
916,0,2,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
918,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
928,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
936,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
943,0,2,0,0,0,0,0,0,11,0,0,3,2,0,0,3,0,0,0,0,0
